file_name,file_path,cleaned_title,attempted_sites,failure_reason,error_message,suggested_action,created_at
"1例47,XXX致原发性不孕.pdf","literature/6bc1b33e-04e9-44ae-9540-712ea9d17de2/1例47,XXX致原发性不孕.pdf","1例47,XXX致原发性不孕","[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:53:27.374187+00:00
1例子宫内膜异位症合并息肉患者诊治及术后长期管理获得良好妊娠结局的病例报告.pdf,literature/ed785239-7b4b-4b17-a47f-732b34b96be3/1例子宫内膜异位症合并息肉患者诊治及术后长期管理获得良好妊娠结局的病例报告.pdf,1例子宫内膜异位症合并息肉患者诊治及术后长期管理获得良好妊娠结局的病例报告,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:53:53.418742+00:00
2023 ESGO：ESHRE：ESGE子宫内膜癌保留生育功能治疗指南解读.pdf,literature/c2b84b4f-3e27-4f27-ba41-7d03ac8c9f19/2023 ESGO：ESHRE：ESGE子宫内膜癌保留生育功能治疗指南解读.pdf,ESGO：ESHRE：ESGE子宫内膜癌保留生育功能治疗指南解读,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:54:15.160368+00:00
_(131)I治疗220例Graves甲亢患者的疗效分析_赵义刚.pdf,literature/dbb2ad66-78c3-4007-b827-902c5b3d7ae4/_(131)I治疗220例Graves甲亢患者的疗效分析_赵义刚.pdf,_(131)I治疗220例Graves甲亢患者的疗效分析,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:55:15.642751+00:00
_(131)I治疗225例甲亢患者的疗效分析_唐武儒.pdf,literature/403b512e-20e5-4225-bdb3-425f3a1562ca/_(131)I治疗225例甲亢患者的疗效分析_唐武儒.pdf,_(131)I治疗225例甲亢患者的疗效分析,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:55:21.737614+00:00
_(131)I治疗Graves病_韩建奎.pdf,literature/51e1bf26-3322-4868-b1a3-0aba810fabf3/_(131)I治疗Graves病_韩建奎.pdf,_(131)I治疗Graves病,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:55:29.451468+00:00
_(131)I治疗甲亢的最佳化_管昌田.pdf,literature/f36f4fa8-5ba7-4fb5-94f6-13a9ceb4245c/_(131)I治疗甲亢的最佳化_管昌田.pdf,_(131)I治疗甲亢的最佳化,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:55:37.969885+00:00
_(131)I治疗甲状腺机能亢进症的远期随访观察_张友仁.pdf,literature/f425160f-fc12-44b7-aa39-e57de0e94e4f/_(131)I治疗甲状腺机能亢进症的远期随访观察_张友仁.pdf,_(131)I治疗甲状腺机能亢进症的远期随访观察,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:55:44.361833+00:00
_(131)Ⅰ治疗甲亢对女性生育影响682例临床观察_唐真武.pdf,literature/8f631c88-f1d6-44b7-ab58-ddda125160dd/_(131)Ⅰ治疗甲亢对女性生育影响682例临床观察_唐真武.pdf,_(131)Ⅰ治疗甲亢对女性生育影响682例临床观察,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:55:52.347449+00:00
_(131)Ⅰ治疗甲状腺功能亢进症对性腺的影响_邢家骝.pdf,literature/4cac6c0d-f8f3-4220-913d-7be2213eeecd/_(131)Ⅰ治疗甲状腺功能亢进症对性腺的影响_邢家骝.pdf,_(131)Ⅰ治疗甲状腺功能亢进症对性腺的影响,"[""yidu"", ""nstl""]",no_result,nstl returned no search results,check_site_manually,2026-06-29T13:56:01.038370+00:00
